Round,"(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)",
10,1.0,0.8993,0.8021,0.7027,0.6042,0.5005,0.4019,0.3016,0.1971,0.0925,
10,1.0,0.8975,0.8002,0.696,0.5965,0.4963,0.3967,0.2946,0.1953,0.0946,
10,1.0,0.902,0.7989,0.7005,0.6012,0.496,0.394,0.2912,0.1915,0.0911,
10,1.0,0.9013,0.8014,0.7021,0.6047,0.5029,0.4046,0.3073,0.205,0.1083,
10,1.0,0.8984,0.805,0.7003,0.6036,0.5072,0.4069,0.3079,0.2059,0.1047,
10,1.0,0.8953,0.7968,0.7007,0.5982,0.5015,0.4032,0.3012,0.1947,0.0949,
10,1.0,0.9018,0.8015,0.7027,0.6016,0.5017,0.4034,0.2984,0.2008,0.1006,
10,1.0,0.9,0.7996,0.6988,0.5996,0.4987,0.3999,0.298,0.2025,0.0981,
10,1.0,0.8987,0.7999,0.7024,0.6029,0.5022,0.4011,0.3019,0.1954,0.0956,
10,1.0,0.8963,0.7956,0.6959,0.5951,0.4943,0.394,0.2934,0.1903,0.0925,
10,1.0,0.9004,0.8011,0.6996,0.5972,0.4985,0.3976,0.2961,0.1974,0.0933,
10,1.0,0.8998,0.7924,0.6906,0.5955,0.4952,0.3949,0.2917,0.1927,0.094,
10,1.0,0.9013,0.797,0.702,0.6024,0.5058,0.4061,0.3025,0.1933,0.0932,
10,1.0,0.9016,0.8002,0.7007,0.6041,0.5024,0.4004,0.3019,0.2001,0.0978,
10,1.0,0.8993,0.8055,0.7102,0.6109,0.5064,0.4024,0.3015,0.1995,0.1006,
10,1.0,0.8995,0.8028,0.7066,0.6085,0.5066,0.4084,0.3084,0.2103,0.114,
10,1.0,0.9028,0.8045,0.7059,0.608,0.5023,0.4025,0.3013,0.2036,0.1042,
10,1.0,0.899,0.7965,0.7018,0.6043,0.5063,0.4025,0.3041,0.2064,0.1065,
10,1.0,0.8953,0.7962,0.6933,0.5937,0.4967,0.3974,0.2972,0.1982,0.0975,
10,1.0,0.9038,0.8056,0.7012,0.5981,0.4974,0.4033,0.3016,0.2005,0.106,
10,1.0,0.9004,0.8013,0.7022,0.6011,0.5027,0.398,0.2988,0.198,0.0935,
10,1.0,0.903,0.8046,0.6991,0.5998,0.4992,0.397,0.3024,0.2018,0.0972,
10,1.0,0.9057,0.8071,0.7018,0.6021,0.4986,0.3989,0.2974,0.1972,0.096,
10,1.0,0.9073,0.8056,0.7069,0.6042,0.5017,0.4022,0.2996,0.1966,0.0937,
10,1.0,0.9017,0.8003,0.6998,0.5989,0.5019,0.402,0.3018,0.2018,0.1017,
10,1.0,0.9018,0.8024,0.7021,0.6048,0.5025,0.4013,0.2968,0.1936,0.094,
10,1.0,0.895,0.7954,0.6963,0.5993,0.4951,0.3928,0.2935,0.1931,0.0944,
10,1.0,0.8991,0.7975,0.6971,0.5998,0.4992,0.4035,0.3099,0.2077,0.1066,
10,1.0,0.9055,0.8055,0.7013,0.599,0.4998,0.399,0.2991,0.1946,0.0949,
10,1.0,0.8983,0.8041,0.7051,0.604,0.497,0.3916,0.2926,0.1958,0.0956,
10,1.0,0.9003,0.8014,0.699,0.5997,0.5001,0.3977,0.3001,0.2013,0.0986,
10,1.0,0.9014,0.8033,0.7022,0.6021,0.5016,0.4001,0.3065,0.2061,0.1043,
10,1.0,0.898,0.7987,0.6959,0.596,0.4984,0.3964,0.2953,0.1929,0.0922,
10,1.0,0.9006,0.8004,0.7032,0.6014,0.499,0.3984,0.3007,0.2016,0.1052,
10,1.0,0.9025,0.8012,0.6993,0.5991,0.4998,0.3976,0.2966,0.197,0.0987,
10,1.0,0.9017,0.8035,0.7058,0.6058,0.508,0.4122,0.318,0.2164,0.115,
10,1.0,0.8973,0.7953,0.6962,0.5981,0.4962,0.3949,0.2907,0.1885,0.0898,
10,1.0,0.9007,0.8012,0.707,0.6085,0.5152,0.4151,0.312,0.2107,0.1092,
10,1.0,0.8956,0.7912,0.6906,0.5898,0.4877,0.3907,0.2942,0.1929,0.0954,
10,1.0,0.8986,0.7969,0.6988,0.5995,0.5005,0.401,0.2989,0.1998,0.1012,
10,1.0,0.9025,0.8042,0.7007,0.5963,0.4973,0.3982,0.2999,0.2023,0.1014,
